Year,Month,Rainfall_mm,Maize_Yield_bags_per_ha
2018,June,200.70296776508945,26.092587628282946
2019,October,61.396856718965594,22.94154977226677
2013,March,15.50883231823356,17.801156884863577
2024,June,193.9475143281203,21.61971818618808
2010,April,25.44427328698879,18.24913357639012
2020,November,4.073682557930602,13.16148209774105
2015,January,0.0,17.38630570666581
2018,July,245.40667269215018,25.07959154494783
2021,June,195.42477564195693,24.98813516791008
2013,February,26.074257089639964,16.859970244413375
2010,January,1.4418116541147505,14.510541434980528
2019,June,188.48255658851528,24.36006962317951
2021,July,249.3320065745057,22.600424615978856
2022,December,18.836341883602813,15.418667986323305
2013,February,9.196925337579614,15.368430789210745
2016,July,267.704668265306,23.085476902364935
2017,December,15.477668092029523,13.908599944995139
2022,March,7.005753988038883,17.8011588452728
2021,May,98.23425983913137,25.125269870914295
2021,June,187.24067324849443,27.802966675643724
2022,July,280.4834718542887,21.24524444435319
2012,June,188.31746217898842,27.88601490110573
2010,October,76.69358218596068,20.752615157222806
2013,April,12.69719774356214,16.03936248942196
2014,January,0.0,13.442696107031605
2012,March,0.0,13.744404869791744
2020,July,245.4797266891983,24.182151082885408
2010,October,76.25750739221115,19.77454048677928
2021,August,257.7648359771488,22.757811397183126
2015,June,194.2580443552135,26.288651435682638
2010,December,0.0,16.044819492368102
2016,September,199.49678312319585,25.870865162370418
2022,May,101.33752965861727,28.054265007759113
2024,April,9.433900236230262,15.21016777340909
2016,September,187.65289210362855,23.871475734414556
2014,June,185.43919309040223,27.3691576157727
2012,May,118.30756371984782,22.716720404246857
2014,October,40.51466640343657,20.105983626209433
2022,August,234.71665433578542,25.367689957000472
2012,February,15.043845312769495,13.805351879246283
2019,April,42.212578019950925,22.896143249418607
2012,May,87.80816964273421,21.67479680474117
2019,June,199.28798086087357,25.557305718267223
2017,March,12.878164090092456,20.641496666163285
2024,November,0.0,13.683405510923095
2018,March,0.0,13.818139920116163
2016,May,96.50309540689304,26.497595804046455
2012,May,89.23583051445743,22.97613556455771
2017,June,194.75365655890872,27.3114854323387
2013,July,283.90398638810433,20.699450937957547
2013,March,0.0,17.368321754138144
2020,May,107.22837234439467,27.10470171397825
2017,January,8.758922779889458,15.48436386017472
2011,May,105.85982246038463,25.568377383484112
2011,January,12.30723271796046,17.578288802602113
2016,September,213.0001203438373,27.011888798079024
2016,May,117.7323848655629,25.13424300682017
2016,October,50.493228795247184,20.261826236502586
2010,November,18.097634497625354,15.502415871446175
2023,February,17.530099633093517,16.294381817775523
2016,October,53.431172344022265,22.751003284952017
2015,October,55.86648602029855,20.470134308427674
2016,April,0.0,16.772507132054443
2020,November,9.682262717116132,20.62406995666249
2010,February,7.383326475704988,16.499345861749966
2018,February,15.740755255661329,20.060576714332782
2017,March,1.5705670141957184,16.006924284849994
2018,September,206.1184476457481,25.16856625408561
2016,November,0.0,15.668179985796616
2017,October,69.10447624789659,19.25762424470188
2010,December,1.99454511220314,14.093975779178209
2016,March,20.925699433872637,14.362236260251661
2018,January,0.0,16.034423750129044
2020,May,120.4828604385151,23.805812507379642
2010,December,0.0,19.04231413888118
2012,September,175.27979149375633,20.595703976257113
2011,June,201.60021675079997,23.855920742190317
2016,June,179.6815077430393,26.416682463403383
2012,October,56.65701070656798,19.307794836174637
2020,March,0.0,17.02491465656029
2022,November,9.753017669379915,16.106437774636497
2019,May,124.69955494071499,21.942388700221194
2011,January,0.0,13.896183860237512
2017,March,2.3162097546675326,16.015220103861193
2018,June,191.38145913215504,25.66524950943552
2016,December,0.0,18.16752920814652
2022,November,0.0,17.514591663176255
2017,September,202.14088019566557,25.76644086555592
2015,September,205.54650920348305,25.699629880289535
2018,September,206.64084139801315,27.445384731146635
2016,February,14.947817545522053,18.24534063528114
2022,August,241.6539645856916,26.73987102615883
2017,May,86.85411546911095,25.999034124309116
2012,January,0.0,12.418449795763905
2017,August,244.92156622366184,22.373453756770246
2020,November,12.60965323483086,15.288893584346148
2011,June,188.3072485017783,21.20021542480785
2017,December,0.0,10.432241346742089
2023,November,0.0,16.800829312288595
2022,October,64.78700237976248,21.868704677377675
2024,September,182.49535785306182,24.90270924447159
2022,April,18.945961913641472,14.901749666438247
2013,March,25.55097452650726,19.598374140237862
2023,May,93.68553739255503,22.818715741425457
2011,June,198.1257421192133,20.81796750493975
2012,April,15.292339262191046,15.497447452288053
2023,August,227.97569985157628,23.747299081353532
2014,August,269.96529790274286,23.85355927451524
2011,June,186.43231515325806,26.13275315924307
2022,May,117.99033154879004,25.695707671396843
2013,June,195.89445554880263,23.630336329430996
2011,November,10.473349704203848,17.165185222689555
2018,January,13.427898300415984,17.946464083978974
2015,September,212.74329072979003,23.607892650534197
2018,June,214.76091098451488,25.032702929642788
2015,December,31.128913089378983,16.972844208435962
2015,December,26.03945704747874,18.284666931054755
2020,August,233.22872994578327,23.18223902439902
2015,January,0.0,16.128331892803836
2016,November,7.842532320532494,14.961141888780771
2011,August,242.63468111608526,28.10760973366962
2016,May,122.91314755151066,24.894974722605387
2015,August,243.570052172523,24.027717193471332
2024,January,9.20276959095625,14.202906694983197
2023,September,193.1393519386498,21.611039081434512
2010,April,24.98834683907919,19.085808094700997
2013,October,45.75220306550939,22.7412322320508
2023,March,0.0,12.351250239580361
2020,February,15.366777278399582,18.96296719811428
2011,March,28.25891537186803,17.174624445025547
2016,May,113.18021250146944,23.58351786059395
2010,October,50.41059050088771,21.72929535867476
2012,January,9.784843176201294,13.155255802266385
2012,July,268.1481052458884,25.429156170762838
2012,February,2.6165594773570593,16.352141575379818
2015,August,250.41045279424108,24.0340579728408
2024,November,0.0,13.936753264123897
2014,November,0.0,17.62545803851873
2017,August,251.1540023189165,22.739903722027677
2023,January,11.575480659725171,10.792869144239067
2013,August,260.23148550558153,19.5894450625141
2010,February,6.563385878953017,13.736582475415828
2013,September,177.5797778641864,27.319896332201036
2013,December,0.0,15.973007763461432
2021,April,18.29619131681224,18.109645131651547
2011,October,54.15232836590383,17.682724614905872
2020,October,67.94400229170711,20.245522846957094
2013,February,0.0,14.423769678068176
2012,December,22.51139685951466,19.2596454484846
2021,March,0.0,14.581484591363143
2022,October,48.17547423173926,23.94018428891363
2019,December,5.7290317834733,16.74897218544444
2016,April,34.45425181047763,19.12250887323867
2014,May,93.11436781268945,22.34256637765346
2010,December,0.0,15.205555526980318
2020,May,107.9144431545547,23.544993519899222
2016,June,205.98960115823368,24.635929029273615
2024,December,1.1795278547413588,11.41057025345982
2020,November,13.744915120537222,17.400750977312775
2010,March,17.97015164789478,11.331387716510758
2017,December,31.325620571710914,18.089599414173595
2014,March,19.622742251062746,15.203928704828222
2017,September,206.19160857593855,22.687368765714133
2012,August,233.64346558956294,27.964776287595985
2020,February,9.139763988549802,16.67689967139291
2018,August,256.0510159603313,24.25623666736564
2015,March,5.2562835771536465,16.56931207615201
2016,June,231.05123377857413,24.10289386483844
2014,May,100.01648570072452,25.1821000241165
2020,May,113.58288899436975,26.0506908208205
2020,April,28.58095333043777,15.835671866243315
2019,April,43.50147298451644,17.117754850743616
2022,August,247.5395319785855,22.12297178599537
2023,March,2.037924801105112,16.156374757877828
2018,February,16.820358231754096,17.85556286218665
2016,June,219.2056690358797,25.445943257662677
2016,February,8.33765047064027,18.08778566279469
2020,April,36.842057333869604,16.39652540520629
2010,June,203.96100104774786,26.230106613258744
2019,July,241.5365474496001,26.615389625018175
2016,July,243.7491661945121,24.031966049794427
2020,May,94.40392263574195,22.833151557118523
2021,March,0.0,12.399898234811413
2012,January,23.917575948374584,15.997560374013922
2015,November,0.0,10.973219772792572
2022,November,0.0,12.633820413185004
2011,January,24.630227402045534,19.777704307543246
2013,April,8.677744822334143,20.69947707494024
2020,November,14.726482304873914,16.15573653758641
2011,April,0.0,19.861885145181486
2021,June,174.15641299854605,21.69895825337315
2023,October,68.3385564801446,26.139021421997192
2021,December,20.764092277657774,18.520995947657234
2014,June,203.9213151249793,26.535162322368045
2018,June,206.38392884680147,25.353549337520825
2024,August,244.56301655927814,23.62429881203087
2011,July,234.69053116699985,23.541333586467875
2017,May,71.60564778706922,21.278520068912233
2010,August,228.17113339273624,22.09668393786622
2022,May,99.69841226730217,25.84950107497155
2014,February,25.774749090034696,14.723370387281122
2020,May,82.15557795144494,24.0094830981717
2020,December,0.0,14.830733700005952
2017,December,8.250781485368279,14.21397287215672
2012,August,244.5806325921894,21.080751578361383
2021,June,185.9794853407318,25.628837594803066
2016,March,0.0,16.1609494759208
2023,July,245.7054330160998,24.80981873048434
2017,December,3.3587120109699216,18.36763747322065
2017,April,20.87836753971861,16.545280742702033
2023,August,244.83446254548426,24.825543798004237
2015,September,197.73290105488556,24.986846648461057
2020,July,235.47012468289867,22.751117745197206
2019,December,0.0,18.77915348637388
2024,January,0.0,13.894189604408187
2023,June,184.22389101646203,26.7844963772932
2014,August,238.57575482561958,26.46614842933014
2021,July,235.89764063634198,24.620624455834715
2016,October,40.46979420110364,23.449694756462065
2013,December,0.0,15.899641420454056
2017,May,106.50665321398148,24.207216588360005
2014,January,0.0,15.020358600533148
2010,July,246.65717207968663,23.373042419844737
2016,May,111.45818675192365,28.01165195418245
2010,March,0.0,12.540394040841846
2013,March,1.6757692747311776,20.619559296180967
2021,September,184.94488148045403,28.270898055031417
2019,August,268.1655122111466,21.560876253547857
2016,June,203.53474618777912,28.09062796282012
2016,May,91.3130838851877,22.23322855280855
2012,April,10.274786290770344,14.328492088021164
2013,December,0.0,12.832119466475488
2016,January,0.5112520238883911,13.795190342873086
2013,May,100.50678867686122,19.992457513653186
2024,May,101.96320348321686,24.840135440037304
2020,August,213.09396536142816,25.41954997669212
2017,November,18.415034887099385,14.747807677456398
2013,November,25.08858580256555,18.63877414413736
2024,November,0.0,15.16846184468459
2017,March,11.374903687825835,16.62168385093782
2014,May,105.08133988669553,21.474811123889417
2017,April,21.54041236054117,14.639738731729839
2017,February,10.331609079769496,14.555975853832374
2012,November,0.0,17.752186350420875
2013,November,16.369651808914035,18.185808987073546
2010,May,80.61530852991132,21.40398803102898
2017,June,213.19646549968775,24.95283223077822
2012,December,34.78994309972541,19.460847491294448
2024,June,197.88073674735048,24.285850847606582
2011,August,245.00311357173425,23.427438895032978
2019,October,63.621630150328855,22.850227142929114
2024,June,183.21015809238077,22.334442558391018
2014,December,0.0,16.29598265382509
2024,July,229.4495009073919,19.96064287209799
2018,June,200.82867906796446,29.855848873350705
2016,August,242.9089363269016,25.489721267968637
2019,March,4.227440378213475,15.533422878819367
2010,July,259.7861472448165,22.509702123971234
2010,March,7.010884711078544,16.665825409858897
2014,December,0.0,17.264084699073045
2024,August,240.37560364956886,22.394945626199362
2015,March,11.047647653556053,14.639594827398843
2023,July,246.42271736053692,23.658168792244265
2010,January,16.28843348747367,17.908953362764308
2017,July,245.62459561882284,25.343556333360368
2014,December,20.853113235259702,18.517301142631005
2019,September,197.1552892976507,22.288036350033853
2018,May,81.02329505386942,21.450634154692647
2024,November,0.0,14.906057394029109
2018,March,3.8497488734566074,16.75071221713017
2022,September,195.94251832911362,25.896754120450165
2013,September,197.96711622215182,20.952221687690166
2021,April,4.909969092718686,15.514869211622953
2019,July,227.8545788573834,25.512839244707152
2010,August,265.96126248515543,25.220722108982095
2013,August,239.79835693604687,26.908699226024645
2018,September,199.23001185803167,24.21489005094591
2017,May,87.79896004688591,21.84475109649302
2014,January,0.0,15.620832444750977
2022,May,99.40860971574797,23.05760038392224
2014,October,59.55407254619525,23.029126117510522
2022,January,14.243312031619856,13.787620181226114
2021,April,0.0,17.14863982247855
2024,December,0.0,14.830469196214635
2010,October,35.448304609109606,15.127481332725731
2020,July,254.12194092307183,24.870091682744288
2020,September,188.3523439890992,19.79698692067651
2022,October,44.806333276212754,20.300409754138354
2016,May,74.81632646838807,22.047638286276896
2019,May,96.77035226240507,24.080430720444934
2016,February,13.7937055262123,14.766502421424661
2018,December,17.94857252496737,16.804741309937334
2012,September,196.59043190735102,23.050891352591872
2024,December,0.0,13.510394571946199
2020,April,16.405809101148655,20.39449917152974
2016,September,176.42148285602966,21.769035468761608
